Paper ID,Q1 root 1,Q1 root 2,Q2 RealRoot1,Q2 RealRoot2,Q2 complex
101,3 + 4im,3 - 4im,-2,-2,4 + 4im
102,1 - 2im,1 + 2im,3,-3,1 - 1im
103,2 + 5im,2 - 5im,-2,3,1 - 3im
104,5 + 4im,5 - 4im,5,4,3 - 3im
105,5 - 5im,5 + 5im,-2,2,1 + 4im
106,5 - 3im,5 + 3im,3,-4,-3 + 5im
107,-1 + 3im,-1 - 3im,3,1,5 + 3im
108,3 + 4im,3 - 4im,2,-4,3 + 2im
109,1 + 5im,1 - 5im,-5,2,-2 + 2im
110,-1 - 4im,-1 + 4im,2,-4,3 - 3im
111,-4 - 3im,-4 + 3im,-4,5,-3 - 3im
112,-3 + 5im,-3 - 5im,2,-5,-4 - 4im
113,-4 - 3im,-4 + 3im,-5,3,-4 + 2im
114,-4 - 5im,-4 + 5im,2,-1,1 - 3im
115,-5 + 3im,-5 - 3im,5,-2,4 + 3im
116,5 + 3im,5 - 3im,1,2,-3 + 4im
117,-5 - 1im,-5 + 1im,1,-2,-4 + 5im
118,4 + 3im,4 - 3im,5,5,-1 - 3im
119,4 - 1im,4 + 1im,-1,2,3 + 3im
120,3 - 2im,3 + 2im,5,4,3 + 3im
121,-5 + 2im,-5 - 2im,4,-3,-1 - 3im
122,-4 + 3im,-4 - 3im,2,-1,-4 + 1im
123,-2 - 5im,-2 + 5im,1,2,-2 - 5im
124,-5 - 1im,-5 + 1im,2,4,-2 + 2im
125,2 - 5im,2 + 5im,-1,-5,-4 + 1im
126,-3 + 3im,-3 - 3im,-3,-5,3 - 3im
127,-2 - 3im,-2 + 3im,3,3,-4 + 4im
128,2 - 1im,2 + 1im,2,5,1 + 2im
129,-4 + 5im,-4 - 5im,4,2,-5 + 3im
130,2 - 3im,2 + 3im,-3,-5,-2 + 4im
131,-3 + 5im,-3 - 5im,-4,-4,1 + 3im
132,2 - 4im,2 + 4im,-2,-5,3 + 1im
133,-5 - 3im,-5 + 3im,-3,-5,-1 - 3im
134,-3 - 5im,-3 + 5im,-4,5,-3 - 1im
135,-1 + 5im,-1 - 5im,-4,-3,2 - 1im
136,1 - 3im,1 + 3im,-3,-5,3 + 1im
137,3 + 2im,3 - 2im,-1,5,1 + 5im
138,-2 - 5im,-2 + 5im,2,-1,-4 - 5im
139,1 + 2im,1 - 2im,-2,3,4 + 3im
